A,B
45.32733,0.31478
44.51848,0.07224
44.32612,0.01430
44.69770,0.00526
44.30242,0.01505
44.83574,0.05485
44.57033,0.17767
44.30397,0.01228
44.43193,0.06483
44.75459,0.12151
44.69916,0.00716
44.88584,0.00441
44.43886,0.04585
44.10607,0.01557
44.28278,0.01757
45.03406,0.09969
44.28599,0.01597
44.51935,0.04301
44.25256,0.10655
44.13888,0.00574
44.97359,0.00946
44.90593,0.06272
45.67979,0.04363
44.45743,0.15649
44.54183,0.15627
44.59501,0.01820
44.69004,0.12009
44.78482,0.06524
45.22008,0.00226
44.67030,0.03193
44.23784,0.03453
44.59427,0.01393
44.80879,0.10226
44.75154,0.03959
44.08426,0.00873
44.34647,0.03277
44.41080,0.01227
44.44258,0.00593
44.48394,0.15534
45.03598,0.02793
44.61065,0.02132
44.70652,0.13905
44.83296,0.01951
44.32271,0.06382
44.84746,0.00146
44.66365,0.03441
44.76287,0.06689
45.10199,0.00391
44.64622,0.00626
44.87745,0.06418
44.09679,0.00879
44.27269,0.00944
44.44430,0.08075
44.93558,0.01528
44.09816,0.00921
44.33125,0.02216
44.44104,0.01539
44.33125,0.02216
44.44104,0.01539
44.88637,0.11872
44.30239,0.05533
44.22117,0.12941
44.76188,0.11883
45.09383,0.02369
44.44021,0.05336
44.54921,0.06313
44.65970,0.01427
44.79900,0.00287
44.18964,0.16066
44.25669,0.01856
44.35819,0.03576
44.91202,0.08730
45.05713,0.05654
44.56043,0.21451
44.78145,0.09942
44.77507,0.07369
44.36424,0.00708
44.17580,0.04911
44.40151,0.00523
44.20654,0.02390
44.59746,0.00671
44.17015,0.06091
44.31297,0.01773
44.52867,0.01500
44.68251,0.01940
