C,D
2.66e45,2.35e44
3.99e43,1.56e43
3.69e44,1.90e44
3.47e45,1.28e43
5.48e43,4.06e43
1.28e45,5.92e43
6.45e44,4.22e43
9.77e43,8.90e43
3.95e44,4.37e43
5.36e44,4.45343
2.81e43,5.23e43
2.01e45,3.7e44
8.19e45,7.33e44
1.66e44,3.06e43
7.28e44,5.35e43
1.18e45,3.47e44
1.78e44,1.52e44
1.57e45,3.99e44
2.07e45,4.85e44
1.48e45,1.82e44
1.12e45,6.22e43
9.34e44,1.25e44
6.98e44,1.16e44
4.11e44,1.82e44
4.19e45,5.80e44
2.81e44,1.44e44
2.93e45,5.11e44
8.02e44,5.17e43
7.05e44,1.77e44
5.36e44,4.45e43
1.91e45,4.41e44
8.01e43,8.02e43
1.63e45,9.07e43
1.32e45,3.76e44
1.01e45,5.54e43
6.82e44,3.90e44
1.58e44,3.66e43
4.69e44,2.25e44
6.73e44,6.35e44
1.19e44,1.81e44
8.45e44,4.69e43
2.03e45,3.18e44
2.26e44,2.27e44
9.33e44,9.22e43
1.98e45,1.96e44
4.85e45,5.90e44
2.94e44,1.17e44
3.45e44,1.09e44
7.25e44,2.72e44
1.59e45,1.18e44
3.34e45,1.23e44
1.19e45,2.87e44
1.52e44,3.65e43
9.22e45,4.57e44
1.47e45,1.37e44
2.43e44,2.69e43
3.99e45,6.26e44
1.34e46,1.15e45
2.24e44,3.72e43
1.83e45,2.75e44
1.83e45,8.44e43
1.57e45,7.28e43
3.47e45,9.61e43
4.96e44,9.64e43
2.89e44,7.87e43
1.76e45,1.63e44
1.18e45,5.45e43
1.82e44,3.36e43
5.56e44,5.12e43
9.08e44,5.85e43
5.44e44,1.10e44
8.59e44,3.95e43
5.84e44,4.84e43
2.07e45,7.69e43
1.41e45,5.23e43
3.38e44,3.12e43
9.04e44,3.34e43
1.32e43,5.22e43
2.89e44,8.75e43
6.62e44,2.14e44
4.59e44,4.64e43
2.73e44,3.28e43
1.01e45,5.65e43
2.20e45,8.13e43
4.22e44,1.78e44
5.85e43,7.93e43
5.17e44,1.31e44
3.41e45,1.42e44
1.07e45,5.97e43
1.48e45,1.32e44
3.18e44,4.10e43
8.92e44,1.23e44
3.46e44,1.95e43
9.01e44,4.97e43
6.52e44,7.80e43
1.02e45,5.66e43
3.11e44,1.34e44
