A,E
7.04e-5,2.74e-6
1.72e-5,3.33e-6
1.56e-5,3.14e-6
5.86e-6,1.55e-6
9.72e-6,1.73e-6
1.59e-5,3.39e-6
2.68e-5,3.6e-6
6.71e-6,1.1e-6
4.37e-5,1.91e-6
1.66e-5,3.25e-6
1.43e-5,2.67e-6
1.66e-5,3.25e-6
1.76e-5,3.69e-6
1.17e-4,4.59e-6
4.26e-5,3.65e-6
2.01e-4,7.95e-6
3.04e-5,1.87e-6
2.16e-5,1.1e-6
2.86e-5,4.08e-6
7.11e-6,1.93e-6
1.42e-5,2.98e-6
6.19e-5,5.65e-6
3.17e-5,2.18e-6
1.57e-5,3.15e-6
2.66e-5,1.67e-6
4.67e-5,3.83e-6
6.07e-5,9.39e-6
1.38e-4,2.54e-6
2.16e-5,2.43e-6
1.21e-4,6.69e-6
1.6e-5,1.67e-6
1.98e-5,3.44e-6
1.5e-5,2.22e-6
8.86e-6,1.43e-6
4.25e-5,4.69e-6
2.3e-5,1.78e-6
2.1e-5,2.46e-6
2.64e-5,3.96e-6
1.14e-5,1.79e-6
8.51e-6,1.92e-6
1.21e-5,1.32e-6
8.11e-6,1.35e-6
1.06e-4,6.33e-6
8.64e-6,1.81e-6
9.38e-5,2.71e-6
4.55e-6,4.6e-7
1.29e-5,3.15e-6
2.76e-5,2.22e-6
1.87e-5,4.2e-6
5.45e-5,2.21e-6
1.25e-4,6.57e-6
1.71e-5,1.82e-6
